NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,49.18209484577863,82.24376744674983,108-87-2,0
1,57.733700953409794,83.55975807693144,1634-04-4,0
2,83.17693476663871,81.39103952859419,111-87-5,0
3,93.25986035283624,78.44173236669701,56-81-5,0
4,56.166506378567746,82.98515681803457,107-06-2,0
5,77.93340339999885,80.69626120866049,126-33-0,0
6,60.00231935514445,83.84105477359564,57-55-6,0
7,41.81156985972064,78.75357413738689,107-31-3,0
8,58.01220720872193,84.9511799671852,109-60-4,1
9,57.93489841525554,83.09894177264813,110-71-4,1
10,63.82287537172148,83.35585577664779,96-49-1,1
11,54.44045142300734,86.86886511667919,109-69-3,1
12,55.369911766453484,84.22174930541621,109-86-4,1
13,58.13907231084426,82.58554262303502,75-85-4,1
14,49.45058086461152,81.97035967057782,75-65-0,1
15,55.55095176839331,84.87809817397438,96-47-9,1
16,65.90984190081089,80.61316577426945,111-70-6,2
17,61.93061044992036,83.42044773366175,108-93-0,2
18,58.515764537634396,85.63563747154885,123-91-1,2
19,56.43283153345754,84.21948107520623,108-20-3,2
20,73.8107152264651,83.40497273874293,100-51-6,2
21,57.71220832911317,82.90119411710431,108-90-7,2
22,54.613789559346095,88.08197786015785,123-51-3,2
23,64.50179510544645,82.89852258070137,108-24-7,2
24,57.889028514356276,81.10212853273026,616-38-6,3
25,54.59886584266703,86.15490273910282,120-92-3,3
26,62.276025884370796,85.8762548645981,108-75-8,3
27,57.44803571322399,86.12114769276633,591-78-6,3
28,58.43217933721333,85.81500846143786,110-19-0,3
29,55.66460655400531,86.15868516514334,71-43-2,3
30,56.03670511444249,86.46138271715066,71-36-3,3
31,47.95949792475922,81.58099649726884,75-15-0,3
32,64.71304551791906,86.12739909760337,111-96-6,4
33,62.94588247425492,83.68206238609986,98-82-8,4
34,52.77093856318669,83.86085331617905,75-09-2,4
35,64.44927066238294,82.29739159727305,107-21-1,4
36,57.51006424372601,87.0134888145843,64-17-5,4
37,55.52768243379534,81.74412378910822,141-78-6,4
38,51.424533322022555,80.33837440629102,109-94-4,4
39,49.80910759343276,72.44456661645735,64-18-6,4
