,rmse_train_y0,rmse_train_y1,rmse_test_y0,rmse_test_y1,rmse_train_spectral_y0,rmse_train_spectral_y1,rmse_test_spectral_y0,rmse_test_spectral_y1,objective_y0,objective_y1
0,0.0023967260359035163,0.0028009133327277507,0.17820776536965363,0.2602862995317092,0.3570494437342601,1.0217466303421214,0.359071953453995,1.1844212274590702,46.10712802210574,44.30702338811433
1,0.0023967368059518166,0.002800937593490912,0.1782075997441569,0.2602864712984501,0.25798946153679614,0.9843567602101819,0.34358040226003955,1.0848299793099314,46.10712802253512,44.307023390441316
2,0.00239674618771439,0.002800917037054622,0.1782074797374011,0.2602862678876559,0.21196249151725927,0.7467274339665004,0.28502263149409396,0.786891846022866,46.10712802657551,44.30702338816976
3,0.0023967282876490525,0.0028008975582849535,0.178207773716562,0.2602841005922434,0.36765607254963434,0.9982183467407343,0.41639818207384677,1.1031814143179162,46.10712802206446,44.30702340025243
4,0.0023967271789552733,0.0028009091828776127,0.17820757028452122,0.260286362336545,0.3925690016294729,0.8732664861284314,0.4334202129631925,1.0628361571212281,46.10712802245874,44.30702338821708
5,0.0023967280791820015,0.0028009430299798447,0.17820776090032775,0.26027979412824204,0.21826875405506574,0.7849330497357729,0.32255958677867863,0.7589694591671052,46.107128022184824,44.30702352199966
6,0.0023967295755134943,0.0028009145606611003,0.1782078332927343,0.26028640244026,0.26917237706257485,0.8929242587618657,0.4884721478430218,0.9911809466484311,46.107128022180206,44.307023388148565
7,0.002396730319389694,0.0028009127589555564,0.1782075925386086,0.26028636461799537,0.20100418917477558,0.9261201928485173,0.25710950628775775,0.9610207161585145,46.10712802291616,44.30702338813383
8,0.0023967341215180775,0.002800913743189143,0.17820807728550164,0.26028639042102797,0.3489658913071267,1.01504009108453,0.43803643887249066,1.0994786415278852,46.10712802403817,44.307023388120925
9,0.002396740858522284,0.0028009160023145367,0.17820799910328228,0.26028626418258705,0.19656821036918073,0.9478944477070335,0.32466111342908155,1.1311372592875606,46.10712802587247,44.307023388325334
